INSTNM,MAIN,CIPDESC,STABBR,DEBTMEDIAN,MD_EARN_WNE,ADM_RATE,SAT_AVG,Tuition_Average,Tuition_more_110K,Debt_payback_YR,Tuit_Avg_4Y_Pyback,Tuit_Inc_4Y_Pyback,Salary_10Y_4Y_Tui
University of Alabama at Birmingham,1,"Psychology, General.",AL,25000,26100,0.9181,1195,17535,19666,0.957854406,2.687356322,3.01394636,190860
University of Alabama at Birmingham,1,Communication and Media Studies.,AL,21474,26300,0.9181,1195,17535,19666,0.816501901,2.666920152,2.991026616,192860
University of Alabama at Birmingham,1,"Computer and Information Sciences, General.",AL,27750,56900,0.9181,1195,17535,19666,0.487697715,1.232688928,1.382495606,498860
University of Alabama at Birmingham,1,Marketing.,AL,25000,35800,0.9181,1195,17535,19666,0.698324022,1.959217877,2.197318436,287860
University of Alabama at Birmingham,1,Criminal Justice and Corrections.,AL,25000,30600,0.9181,1195,17535,19666,0.816993464,2.292156863,2.570718954,235860
University of Alabama at Birmingham,1,History.,AL,25000,23000,0.9181,1195,17535,19666,1.086956522,3.049565217,3.420173913,159860
University of Alabama at Birmingham,1,"English Language and Literature, General.",AL,24750,26300,0.9181,1195,17535,19666,0.941064639,2.666920152,2.991026616,192860
University of Alabama at Birmingham,1,"Liberal Arts and Sciences, General Studies and Humanities.",AL,26500,29400,0.9181,1195,17535,19666,0.901360544,2.385714286,2.675646259,223860
University of Alabama at Birmingham,1,"Biology, General.",AL,23775,25900,0.9181,1195,17535,19666,0.917953668,2.708108108,3.037220077,188860
University of Alabama at Birmingham,1,"Teacher Education and Professional Development, Specific Levels and Methods.",AL,25500,34600,0.9181,1195,17535,19666,0.73699422,2.02716763,2.273526012,275860
University of Alabama at Birmingham,1,Mechanical Engineering.,AL,22270,57200,0.9181,1195,17535,19666,0.389335664,1.226223776,1.375244755,501860
University of Alabama at Birmingham,1,Materials Engineering,AL,24504,60200,0.9181,1195,17535,19666,0.407043189,1.165116279,1.306710963,531860
